nom_etab;Appellation officielle;type_es;Adresse;cp;Commune;prix_moyen_m2_appartement;prix_moyen_m2_maison;id_quartier;Quartier;prix_quartier_m2_appart;id_quartier_details;Quartier_detail;prix_Quartier_detail_m2_appart;id_pole;Nom du pôle;Longitude_Latitude
EMILE PEHANT M/E;Ecole élémentaire Emile Péhant;M/E;24 rue Emile Péhant;44000;Nantes;3955;4388;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.54845977578666,47.2126666606482]
JEAN JAURES E;Ecole élémentaire Jean Jaurès;E;11 rue Jean Jaurès;44000;Nantes;4363;5869;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.55964068261297,47.2194283413268]
LEON BLUM E;Ecole élémentaire Léon Blum;E;5 rue Léon Blum;44000;Nantes;4004;3594;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.55569941038744,47.2189802182377]
MOLIERE M;Ecole maternelle Molière;M;2 rue du Cheval Blanc;44000;Nantes;4026;3594;1;Centre Ville;4199;1;Centre ville;4200;9;Nantes-Loire;[-1.55600932551841,47.2173277025322]
ALPHONSE BRAUD M/E;Ecole primaire Alphonse Braud;M/E;34 rue Gutenberg;44100;Nantes;3566;4299;2;Bellevue - Chantenay - Sainte Anne;3120;2b;Chantenay;3542;8;Nantes-Ouest;[-1.58645982897703,47.2018129201971]
FONTENY M;Ecole maternelle Fonteny;M;33 rue du Fonteny;44100;Nantes;3417;4192;2;Bellevue - Chantenay - Sainte Anne;3120;2b;Chantenay;3542;8;Nantes-Ouest;[-1.59284985371344,47.2048366414715]
MUTUALITE E;Ecole élémentaire La Mutualité;E;2 rue de la Mutualité;44100;Nantes;3417;4192;2;Bellevue - Chantenay - Sainte Anne;3120;2b;Chantenay;3542;8;Nantes-Ouest;[-1.58942061205231,47.2053559391871]
REFORMES M/E;Ecole primaire Les Réformes;M/E;12 rue des Réformes;44100;Nantes;3766;4264;2;Bellevue - Chantenay - Sainte Anne;3120;2b;Chantenay;3542;8;Nantes-Ouest;[-1.59112048548704,47.1996793322981]
CHATAIGNIERS E;Ecole élémentaire Les Châtaigniers;E;164 rue du Corps de Garde;44100;Nantes;3099;3764;3;Dervallières - Zola;3527;3a;Dervalières;3249;8;Nantes-Ouest;[-1.6020694630595,47.2198172809183]
CHATAIGNIERS M;Ecole maternelle Les Chataigniers;M;77 rue de la Contrie;44100;Nantes;3120;3754;3;Dervallières - Zola;3527;3a;Dervalières;3249;8;Nantes-Ouest;[-1.60023043001505,47.2202754400586]
DERVALLIERES CHEZINE M/E;Ecole élémentaire Dervallières Chézine;M/E;1 rue Auguste Lepère;44100;Nantes;3527;4281;3;Dervallières - Zola;3527;3a;Dervalières;3249;8;Nantes-Ouest;[-1.59818040718891,47.2269616357104]
MAURICE MACE E;Ecole élémentaire Maurice Macé;E;14 rue du Pontereau;44300;Nantes;3075;3312;10;Doulon - Bottière;3025;10b;Doulon;3075;4;Erdre et Loire;[-1.50412007081703,47.2361889707364]
